Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
201126787,"The Darkness Within Us (The Shadows Between Us, #2)",Tricia Levenseller,"Levenseller, Tricia",,"=""1250840775""","=""9781250840776""",2,3.91,Feiwel & Friends,Hardcover,336,2024,2024,2025/02/22,2024/09/17,,,read,"I'm so disappointed. The premise starts strong but is executed with little confidence. The writing lacks subtlety as the story progresses, and there are several unnecessary scenes and locational decisions that could be either cut or refined. There is absolutely no reason why an author should feel the need to explain the enemies-to-lovers trope for the characters to tease each other with; it's not cheeky, it's incredibly meta in a world already difficult to immerse yourself in. I thoroughly enjoyed the blooming romantic beats between Chrysantha and Eryx--I really wish the couch/chair scene was in a much better book so I could recommend it to other people.",,,1,0
58874675,The Honeys,Ryan La Sala,"Sala, Ryan La",,"=""133874531X""","=""9781338745313""",4.5,3.80,PUSH,Hardcover,344,2022,2022,2025/02/17,2025/02/17,couldnot-put-down,couldnot-put-down (#43),read,"4.5 ⭐<br/><br/>This book creeped me out so bad! I love the imposing atmosphere, suspicious characters/activity, and pacing. Usually the driving force loses its importance for me, but every time Caroline's name is brought up, I could feel the sting of her death all over again. The grief is palpable, and it made all the more sense once I reached the Acknowledgements page. <i>The Honeys</i> would honestly make a great season of television. I just wish the twist and honey community had a fuller explanation; it doesn't hinder the story but it's too fascinating and permanent to keep us in the dark.",,,1,0
134912704,Heart of the Sea,Moriah Chavis,"Chavis, Moriah",,"=""1957899425""","=""9781957899428""",0,4.03,Quill & Flame Publishing House,Paperback,314,2023,2023,2025/02/13,2025/01/20,indie-darlings,indie-darlings (#7),read,,,,1,0
53174679,"Instant Karma (Instant Karma, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250618819""","=""9781250618818""",4,3.75,Feiwel & Friends,Hardcover,400,2020,2020,2025/02/07,2025/01/31,,,read,"Contemporary romance is <i>not</i> my go-to genre, but I'm on a mission to read all of Marissa Meyer's works this year and <i>Instant Karma</i> caught my attention more than her others in the same section.<br/><br/>I really enjoyed this book, and it probably has a lot to do about how Prue reflects myself in high school. She's a straight-A student who can't handle anything less, doesn't trust other people to do work she could do herself, and judges others very easily if they don't align with her viewpoint around academia/financial success. And it doesn't hurt that I'm from a tourist town with a low middle-class family background. Seriously, did Marissa Meyer go back in time and observe me at 16?? Prue sings to my heart in a way that can make me laugh while she's clearly in the wrong but just doesn't know it yet. I know; I lived it.<br/><br/>And Meyer either seemed to have lived it too or really understands how teenagers are because the other characters do not miss. Everyone starts out one dimensional: the overachiever, the slacker, the brother, the best friend, the activist, the mean girl crush, etc. But as the story goes on and wacky Karma powers kick in, Prue begins to see the people she grew up with as more than what she labeled them (and vice versa). I absolutely love how subtle and organic the growth is in this regard. The author packs a lot of setup, and for the most part, they pay off.<br/><br/>I only wish that the Karma plotline somehow ended up helping Prue's family and their business, or Prue's growth into an event coordinator would have helped them at the end. That was the last string I was left feeling untucked. I liked the scene where Prue's mother explains that these things they're giving away are just stuff, and I like the sentiment that the exploration of their lives are more important than the items left behind by people long gone, but they're still struggling. They're still having to do Band-Aid solutions, and I don't think I have to read the second book in order for that to at least be hinted at or starting to resolve by the end of this one.",,,1,0
61250159,"The Prisoner’s Throne (The Stolen Heir Duology, #2)",Holly Black,"Black, Holly",,"=""0316592730""","=""9780316592734""",3.5,3.89,"Little, Brown",Kindle Edition,359,2024,2024,2025/02/05,2025/02/06,couldnot-put-down,couldnot-put-down (#42),read,"3.5 ⭐<br/><br/>Noooo my Wren POV (╯︵╰,)  vs Yaaay Jurdan is BACK ✧♡(◕‿◕✿) And treating me with more Jack of the Lakes? Holly, you shouldn't have (◌˘◡˘◌)<br/><br/>But in all seriousness, this was a fun ride with a fun mystery to unravel. I enjoyed being afraid <i>of</i> Jude rather than afraid <i>for</i> her, and I loved Oak's character development as he grappled with his role, his family's expectations, and his love for an impossible girl. As much as I understand why Wren can't have a POV for the mystery to work, I can't help but note that the writing style related to her perspective is what enchanted me in this duology, which is not present here.",,,1,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,"=""0316592706""","=""9780316592703""",4,3.94,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,2024/10/30,2024/11/15,,,read,"Bumping this up to 4 ⭐ after reading <i>The Prisoner's Throne</i>.<br/><br/>Holly Black is back and she's returning me to Elfhame. I love Wren as the trash goblin she is and a unique inverse to Jude, to be a Fae who wants to belong in the human world. The prose is gorgeous; I was always left feeling more adrift and introspective after reading through Wren's POV.<br/><br/>Unfortunately, I became quite detached from the plot as a whole. Their journey, interesting in itself, had a destination I couldn't find myself invested in. Lady Nore and the threat she poses is distant and never feels out of control, and her relationship to Wren is way more intriguing in the backstory we receive rather than in the current moment. Even the ending, albeit engaging, also confused me. Oak and Wren's relationship and interactions are great, but I didn't see any foreshadowing that would suggest the decisions made that make this book a duology.",,,1,0
40381392,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250157668""","=""9781250157669""",5,4.14,Flatiron Books,Hardcover,478,2019,2019,2025/01/28,2025/01/20,,,read,"I would be in denial if I didn't give the last book in the Caraval series a 5 stars. Finally, Stephanie Garber adds trial and error in her work (maybe a little too much in this one but c'est la vie). It might be odd to cheer for so many things going wrong and for plans to constantly be changing, but my usual critique of her storylines are how convenient they feel. Maybe the cause and effect is so natural, but I often find these high-stake situations pointedly linear. That is not the case for <i>Finale</i>. I was worried at first that Donatella would overtake her sister for best pov, but their storylines end up being just as interesting as the book progresses. Well done. The Evangeline cameo was something I was not expecting either but fully adored.",,,1,0
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,"=""125009531X""","=""9781250095312""",4,4.12,Flatiron Books,Hardcover,451,2018,2018,2025/01/15,2025/01/10,,,read,"The introduction of Jacks was everything I could ever ask for from this universe. I was genuinely surprised to find myself liking Tella a lot more in this novel than I did her character in the first book. Though <i>Legendary</i> is in her pov and that'll help me understand her better, it's the way Garber challenges her in the second installment that makes me respect and enjoy her story more. I also like that there's a clear difference in how each sister plays the game of Caraval based off their personalities and past experience with where they were in the first game. Unfortunately, the ending didn't grab me the way the first book's ending did; I'm going to complete the trilogy only to say I did rather than any gripping need to know what happens next.",,,1,0
205181098,The Thirteenth Child,Erin A. Craig,"Craig, Erin A.",,"=""0593482581""","=""9780593482582""",5,4.08,Delacorte Press,Hardcover,512,2024,2024,2025/01/16,2024/08/29,"books-that-made-me-cry, couldnot-put-down","books-that-made-me-cry (#10), couldnot-put-down (#41)",read,"This is my favorite Erin Craig book so far. She combines everything that she excels at in her other works: complex and realistic sibling relationships, a swoony romance, and horrific twists and turns. I cried terribly at the ending, and I'd recommend this to everyone, even if horror and fantasy is not your usual cup of tea.",,,1,0
217953353,Voice of the Ocean,Kelsey Impicciche,"Impicciche, Kelsey",,"=""""","=""9798212980906""",0,4.01,"Blackstone Publishing, Inc.",Hardcover,400,2025,2025,,2025/01/12,to-read,to-read (#24),to-read,,,,0,0
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250095255""","=""9781250095251""",4,3.97,Flatiron Books,Hardcover,407,2017,2016,2025/01/08,2025/01/06,,,read,"Stephanie Garber always conflicts me. She's fantastic at romantic tension, uncertain heroines, and keeping me caught on her every word. And those words are full of color, hype specific descriptions, and intrigue. It's the sisterly devotion that I couldn't quite connect with; the drive that keeps Scarlet going. The plot always somehow feels both convenient and the most out of pocket, too. I don't think I'd read so much of her work if it wasn't for Rebecca Soler reading the audiobooks. And yet I am reading with abandon every second I can.",,,1,0
164444179,First Lie Wins,Ashley Elston,"Elston, Ashley",,"=""""","=""""",5,4.01,Pamela Dorman Books,Hardcover,340,2024,2024,2025/01/02,2025/01/06,reader-suggested,reader-suggested (#12),read,"1st read for my Book Club complete!<br/><br/>This story had me captivated from beginning to end, the flow of events giving me just enough information and holding just enough of the same to keep me enthralled. I love how we're trying to figure out our main character while also in her point of view. As though we are somehow both Evie's most trusted confidant and the ladies at the luncheon, prodding but unsuccessful. And the cat and mouse game with Mr. Smith--is it wrong for me to say he's a hear-me-out??",,,1,0
50659471,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575621""","=""9781635575620""",5,3.73,Bloomsbury Publishing,Paperback,272,2020,2019,2025/01/02,2025/01/06,,,read,This was the slice of life episode of ACOTAR that nobody asked for but was pleasantly nice. Very cozy like it's entire Christmas atmosphere. Would most likely read again out of all the books (and I'm not just saying that because it's the shortest!),,,1,0
199407665,"Beautiful Villain (Gilded Monsters, #1)",Rebecca F. Kenney,"Kenney, Rebecca F.",,"=""""","=""""",3,3.22,Sourcebooks Casablanca,ebook,394,2024,2024,2024/12/15,2024/12/26,indie-darlings,indie-darlings (#6),read,"Take a shot every time you recognize something contemporary and you will die (especially if you live in upstate SC/western NC)<br/><br/>This was a fun, easy read with a soft second-chance romance, vampires, and a thread of mythology. The effort to keep it a standalone didn't ring as effortless since there were so many liabilities surrounding this version of Gatsby's rise to power and how vampires exist through science.",,,1,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",4,4.47,Bloomsbury Publishing,Paperback,699,2020,2017,2024/11/25,2024/10/08,,,read,"I thought this would be a slam dunk 5 until the final battle occurred. I loved the first 3/4ths of this book! Coming in from Book 2, Feyre <i>is</i> the High Lady of the Night Court and takes a lot more strides moving the plot along with her newfound confidence and role. All of the characters are given unique conflicts with themselves and each other that kept me on my toes even in the most neutral of dialogue scenes. Hybern is terrifying as a central villain, and his newfound threat to the world left me genuinely wondering how they were going to prevail. Tamlin's ever dual and uncertain nature was honestly peak; I don't understand how y'all can hate him so much.<br/><br/>The ending is just unnecessarily funny. It cycles hollow goodbyes and ex machinas in such a loop that I can't take it seriously anymore (the exception being Nesta and Cassian because they were in the most genuine danger). Earlier confrontations with the main antagonist held more weight and more of my breath in equal measure. The final battle is fun, but it seriously drags down the narrative with poor writing, lowered stakes, and a wave of new characters that should have either had their own book or pov chapters alongside the main story. Give me the Lucien POV you coward!",,,1,0
7842288,"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,"Garcia, Kami",Margaret Stohl,"=""0316077054""","=""9780316077057""",2,3.83,"Little, Brown and Company",Hardcover,503,2010,2010,2024/10/30,2024/11/15,,,read,"I'll only be padding my 2024 Reading Challenge if I continue with this book series. I don't know how there are 4 books in this series, and I don't want to know.",,,1,0
6304335,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,"Garcia, Kami",Margaret Stohl,"=""0316042676""","=""9780316042673""",3,3.77,"Little, Brown and Company",Hardcover,563,2009,2009,2024/10/30,2024/11/15,,,read,Finally read this 2010's YA after loving the movie for years and I can safely say that the movie is better. Incredibly so.,,,1,0
209606149,First Word: A Novel of the Dying Light Archive,C.M. Brown,"Brown, C.M.",Lily Ingersoll,"=""1963266129""","=""9781963266122""",5,5.00,Runespring Publishing,Kindle Edition,382,2024,,2024/04/16,2024/04/10,"indie-darlings, couldnot-put-down","indie-darlings (#2), couldnot-put-down (#21)",read,"Amazing read! I'm so thankful that this book entered my radar. Every chapter hits; the pacing and action sequences are inventive and tailored to its worldbuilding. All of the characters, their skillset, and their relationships are well thought-out. The ending shocked me; I was devastated to flip to the next page only to find that the book was finished. Without giving spoilers, there's a clear momentum forward while also maintaining its uncertainty. Will be one of the first to purchase the second! If you love anthropomorphic storytelling, magic systems, adventure, and mystery--give this indie darling your time.",,,1,0
52516231,Stars Above: A Lunar Chronicles Collection (The Lunar Chronicles),Marissa Meyer,"Meyer, Marissa",,"=""1250774063""","=""9781250774064""",4,4.15,Square Fish,Paperback,369,2020,2016,2024/10/10,2024/10/08,couldnot-put-down,couldnot-put-down (#40),read,"My thoughts on each story:<br/><br/>The Keeper - Grandmere's POV was so good; we love a self-aware mom<br/>Glitches - Not the first time Cinder's liar detector goes off; you're tearing me apart<br/>The Queen's Army - I love what was chosen for Ze'ev; I would love for more of his POV in regards to Scarlet in the second book ngl<br/>Carswell's Guide to being Lucky - They still have a no tolerance policy in the third era??<br/>After Sunshine Passes By - Rebecca Soler singing as Cress is HEARTBREAKING<br/>The Princess and the Guard - Jacin x Winter content is everything to me<br/>The Little Android - There was no reason for Marissa Meyer to hurt me like this<br/>The Mechanic - I wanted more of this!! More mmc POVs please.<br/>Something Old, Something New - I'm in love, absolutely in love",,,1,0
219382634,The Twelve Kingdoms (Rose Wolfe and the Twelve Kingdoms),Dana A. Caldwell,"Caldwell, Dana A.",,"=""""","=""9798991489119""",4,4.44,Mystic Mongoose Books LLC,Paperback,560,2024,,2024/09/09,2024/09/08,indie-darlings,indie-darlings (#5),read,"A thrilling, jam-packed debut! <i>The Twelve Kingdoms</i> has a world and narrative structure identical to DnD, so if you love high fantasy and quest stories that move like a campaign, this book is a must read. It even has that slow burning feel at the beginning of the story where characters are thrown together and only fit into a puzzle the more they endure together as a team. There are also a LOT of twists and turns, some I could figure out easily and some I could not <i>imagine</i>, so prepare to be on edge throughout your read. I love Rose's internal journey; she faces triumphs and tribulations that don't always have a clean getaway, fitting right in with the rise of feminine characters making mistakes and having to endure their consequences. Her, Animo, and Ketch are the standouts--if they get hurt, I get hurt.<br/><br/>Caldwell does her due diligence to make sure you feel how large and expansive the world is through its set pieces and plethora of characters. I wish we had more time to explore each location further since they are so interesting, giving both the reader and characters some brevity between cut-throat action sequences. It was also difficult for me to connect with some secondary characters as more attention was given to those who would be pinnacle to the story's progression, but I admire how there's an entire glossary space given to share each character's name, pronunciation, and description. I await the sequel!",,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",5,4.64,Bloomsbury Publishing,Paperback,626,2020,2016,2024/10/04,2024/09/30,couldnot-put-down,couldnot-put-down (#39),read,"Maas is insane for this and I love it<br/><br/>The writing is incredibly strong in this entry. Tamlin's evolution is so natural and believable, I often found myself catching up with Feyre's exact thoughts as they're happening. Her despondence, depression, and revival is palpable. Rhysand steals every scene he's in as normal, and I enjoyed the introduction of new characters, Amren being my favorite.",,,1,0
57911600,Hell Followed With Us,Andrew Joseph White,"White, Andrew Joseph",,"=""1682633241""","=""9781682633243""",0,4.11,Peachtree Teen,Hardcover,416,2022,2022,,2024/09/28,to-read,to-read (#23),to-read,,,,0,0
52516230,Fairest,Marissa Meyer,"Meyer, Marissa",,"=""1250774055""","=""9781250774057""",5,3.95,Square Fish,Paperback,222,2020,2015,2024/09/24,2024/09/27,couldnot-put-down,couldnot-put-down (#38),read,"Let Levana say f*ck<br/><br/>I'm fortunate enough to read this <i>after</i> reading the main series. I've noticed that those who read in strict publishing order often did not have a good time with this book, and honestly, I'm sure I would have been the same back in 2015. The audiobook, as always, is incredible, and makes for an easier time to gawk, pace around the room, and be horrified. Simply put, you cannot be still when reading how disturbing Levana is as she shapes herself into the Evil Queen. Rebecca Soler is my favorite voice actor hands down.",,,1,0
203147386,"Apprentice to the Villain (Assistant to the Villain, #2)",Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",,"=""1649377177""","=""9781649377173""",4,4.11,Entangled: Red Tower Books,Paperback,368,2024,2024,2024/09/20,2024/09/15,books-that-made-me-cry,books-that-made-me-cry (#9),read,"There are some books that I need to read so insistently that I run to B&N before my library can give it to me. This is one of those books.<br/><br/>I absolutely loved the mystery at play here and how revelations pile on top of each other as the story progresses (two are even on the last page). I enjoyed the expansion of the world and how seemingly small details in the first book become insanely important in this one. I read <i>Apprentice to the Villain</i> next to my fiancé and often found myself squealing, kicking my feet, and then repeating the scene to him because he has to know why I'm quaking. The humor is turned up three full notches and works incredibly well.<br/><br/>The only thing that stops me from calling this perfection is how quickly Trystan returns to Evie's side after the events of Book 1, but I won't dare try to tell you how I would have changed anything because the first seven chapters are so good, I wouldn't want that to go away...but maybe go wrong?<br/><br/>I have no idea what the third book is going to be called but I vote: <i>A Prodigy to the Villain</i>",,,1,0
213642097,Divide (One Light Trilogy #1),Hannah Gaudette,"Gaudette, Hannah",,"=""""","=""""",0,4.65,,Kindle Edition,347,2024,,,2024/09/26,to-read,to-read (#22),to-read,,,,0,0
202507554,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,"Parker, Sarah A.",,"=""""","=""""",0,4.02,,Kindle Edition,718,2024,2024,,2024/09/25,to-read,to-read (#21),to-read,,,,0,0
123349658,"Rain of Shadows and Endings (Legacy, #1)",Melissa K. Roehrich,"Roehrich, Melissa K.",,"=""""","=""""",0,4.01,,Kindle Edition,670,2023,2023,,2024/09/25,to-read,to-read (#20),to-read,,,,0,0
123361932,"A Bright Heart (A Bright Heart, #1)",Kate Chenli,"Chenli, Kate",,"=""1454949929""","=""9781454949923""",5,3.77,Union Square & Co.,Hardcover,344,2023,2023,2024/09/01,2024/06/03,couldnot-put-down,couldnot-put-down (#37),read,"Did I read this book in two sittings? Yes, I did.<br/><br/>What a pallet cleanser after dragging myself through the ending of my last read. I was so excited about this book's concept, and it ",,,1,0
53287484,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031670704X""","=""9780316707046""",3.5,3.74,"Little, Brown Books for Young Readers",Hardcover,662,2020,2020,2024/08/30,2024/08/20,,,read,"3.5 ⭐<br/><br/>Honestly what a power move on Stephanie Meyer's part to return 15 years later and give us Edward's POV during a rise of YA books including the male lead's perspective, particularly the experience of falling in love. And I think it's even more of a gamble to write the entirety of the first book through his experiences rather than something completely new like an origin story.<br/><br/>The gamble pays off...for the most part. Any time the book does invest time into Edward's vampiric origins, family dynamics, and powers, I am the most intrigued because that's something we can't get organically (or at the very least as quickly) through Bella's POV. Comparing <i>Midnight Sun</i> to <i>Twilight</i>, my favorite additions are in regards to Edward's vampire life up until the events of the first book and moments where we read the Cullens' reactions to Bella as their relationship deepens. Literally every Cullen is so much more interesting through Edward's POV because we can actually spend time with them. Even Esme.<br/><br/>Where the book sours for me is the paranormal romance between Edward and Bella, which does save itself by the end but is severely harder to believe through Edward's POV compared to Bella's. I love the progression from vicious killer to vicious protector, but there's enough drawbacks to make me cover my mouth from a cringe rather than a sheepish smile. For one, Edward calls her ""the girl"" even after he learns about her name? What's that about? For two, Edward falling head over heels makes me start to hate Bella. This is because Meyers adds more dialogue details to their interactions that don't exist in the first book, and boy did she <i>not</i> need to because all of a sudden Bella becomes this agglomeration of the best female protagonists in classic literature. His view on Bella becomes disingenuous with these added details that aren't present in <i>Twilight</i>. We don't know Bella like that, which wouldn't be a problem if there weren't 4 books written for us to know Bella like that. Her concern for others, selflessness, and stubbornness are very clearly illustrated from her actions presented in the original saga. No need to tell us how she switched lockers with someone so two friends could have lockers side by side. It can be argued that Bella wouldn't share those details to the reader because she is someone who is so humble and reserved that she wouldn't flaunt how kind she is, but it happens too much for me to connect with her the way I did literally through her own book. Great and unexpected use of a <i>Somewhere in Time</i> reference though. You got me there.",,,1,0
